,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifties,duck,fours,sixes
1125,Arshad Mazarzei (Iran),2020-2020,3,3,0,7,5,2.33,40,17.5,0,0,0,1,0
1126,Ashiqullah Said (Belg),2019-2020,7,4,2,7,4*,3.5,6,116.66,0,0,1,1,0
1127,Aslam Mohammad (),2019-2019,3,1,0,7,7,7,8,87.5,0,0,0,1,0
1128,PRP Boissevain (NL),2019-2019,4,2,1,7,7*,7,7,100,0,0,1,1,0
1129,PKD Chase (IRE),2018-2019,12,5,4,7,4,7,13,53.84,0,0,0,1,0
1130,TL Chatara (ZIM),2016-2020,12,2,0,7,7,3.5,11,63.63,0,0,1,0,0
1131,DK Dahani (Iran),2020-2020,3,3,0,7,4,2.33,8,87.5,0,0,1,1,0
1132,DK Dahyabhai Ahir (PNM),2019-2019,2,1,0,7,7,7,10,70,0,0,0,1,0
1133,DC Delany (IRE),2019-2019,8,2,0,7,7,3.5,6,116.66,0,0,1,0,0
1134,H Hiri (PNG),2019-2019,3,2,0,7,4,3.5,10,70,0,0,0,0,0
1135,NJ Maddinson (AUS),2018-2018,4,2,0,7,5,3.5,13,53.84,0,0,0,0,0
1136,S Mahmood (ENG),2019-2020,6,2,1,7,4,7,7,100,0,0,0,1,0
1137,Nadeem Ahmed (HKG),2016-2017,4,1,0,7,7,7,16,43.75,0,0,0,0,0
1138,A Nanda (LUX),2019-2020,5,2,0,7,5,3.5,9,77.77,0,0,0,1,0
1139,A Nao (PNG),2017-2017,2,2,2,7,7*,-,4,175,0,0,0,1,0
1140,Naveen-ul-Haq (AFG),2019-2021,6,2,1,7,5,7,7,100,0,0,0,1,0
1141,Nazwan Ismail (Mald),2019-2020,4,2,2,7,5*,-,10,70,0,0,0,0,0
1142,L Ngidi (SA),2017-2020,16,4,1,7,4,2.33,15,46.66,0,0,1,0,0
1143,J Nyumbu (ZIM),2018-2018,2,2,2,7,6*,-,11,63.63,0,0,0,1,0
1144,JB Reva (PNG),2017-2019,6,2,0,7,6,3.5,10,70,0,0,0,1,0
1145,KW Richardson (AUS),2018-2021,23,4,2,7,5,3.5,8,87.5,0,0,1,0,0
1146,LH Rodrigues (),2019-2019,4,3,2,7,4*,7,12,58.33,0,0,1,1,0
1147,Suhail Sadiq (LUX),2019-2019,2,1,1,7,7*,-,5,140,0,0,0,0,1
1148,Sumair Khan (MLT),2019-2019,1,1,0,7,7,7,6,116.66,0,0,0,1,0
1149,Tanveer Ahmed (HKG),2016-2017,4,1,1,7,7*,-,9,77.77,0,0,0,1,0
1150,Vichanath Singh (THAI),2019-2020,8,4,1,7,3*,2.33,18,38.88,0,0,0,0,0
1151,Adnan Mufti (UAE),2017-2017,1,1,1,6,6*,-,7,85.71,0,0,0,0,0
1152,Aftab Hussain (HKG),2020-2020,9,2,2,6,5*,-,4,150,0,0,0,1,0
1153,MJ Ansell (IOM),2020-2020,1,1,0,6,6,6,7,85.71,0,0,0,1,0
1154,Aqib Iqbal (Aut),2019-2019,5,1,0,6,6,6,6,100,0,0,0,0,0
1155,TS Braat (NL),2019-2019,3,2,0,6,5,3,7,85.71,0,0,0,1,0
1156,NT Broom (NZ),2017-2017,1,1,0,6,6,6,7,85.71,0,0,0,1,0
1157,DE Burgess (Samoa),2019-2019,4,4,0,6,3,1.5,12,50,0,0,2,0,0
1158,SDJJ Dima (Moz),2019-2019,4,2,0,6,3,3,8,75,0,0,0,0,0
1159,L Evile (Samoa),2019-2019,4,1,0,6,6,6,7,85.71,0,0,0,1,0
1160,C Hartmann (IOM),2020-2020,1,1,0,6,6,6,14,42.85,0,0,0,0,0
1161,R Hekure (PNG),2019-2019,8,4,1,6,2*,2,12,50,0,0,0,0,0
1162,HMRKB Herath (SL),2016-2016,3,3,0,6,3,2,10,60,0,0,0,0,0
1163,Jay Odedra (OMAN),2019-2019,3,1,1,6,6*,-,6,100,0,0,0,0,0
1164,RAS Lakmal (SL),2016-2019,6,5,2,6,5*,2,10,60,0,0,2,1,0
1165,D Maisuria (Botsw),2019-2019,6,3,2,6,6*,6,11,54.54,0,0,1,0,0
1166,I Master (Botsw),2019-2019,2,2,0,6,4,3,8,75,0,0,0,1,0
1167,Z McLaughlin (Caym),2019-2019,3,2,2,6,4*,-,16,37.5,0,0,0,0,0
1168,M Morkel (SA/World),2017-2017,5,3,2,6,5*,6,5,120,0,0,0,1,0
1169,J Mulder (IRE),2016-2017,8,4,2,6,5*,3,11,54.54,0,0,1,0,0
1170,B Muzarabani (ZIM),2018-2021,10,4,3,6,5*,6,11,54.54,0,0,1,1,0
1171,Omar Hayat (DEN),2019-2019,2,2,0,6,5,3,4,150,0,0,0,0,0
1172,OF Smith (WI),2018-2018,2,1,0,6,6,6,5,120,0,0,0,1,0
1173,Sohail Tanvir (PAK),2016-2017,7,2,1,6,4,6,6,100,0,0,0,1,0
1174,DW Steyn (SA),2016-2020,7,3,2,6,5*,6,6,100,0,0,1,1,0
1175,Sufyan Mehmood (OMAN),2019-2020,2,1,0,6,6,6,9,66.66,0,0,0,0,0
1176,Tanwir Afzal (HKG),2016-2016,1,1,0,6,6,6,5,120,0,0,0,1,0
1177,Tauqeer Hussain (ESP),2019-2020,6,2,1,6,3*,6,10,60,0,0,0,0,0
1178,HER Tyler (PHI),2019-2019,2,1,0,6,6,6,9,66.66,0,0,0,0,0
1179,TC Vine (ESP),2019-2020,8,1,1,6,6*,-,7,85.71,0,0,0,1,0
1180,ME Sanuth (OMAN),2020-2020,1,1,0,5,5,5,7,71.42,0,0,0,0,0
1181,Abul Hasan (BDESH),2018-2018,1,1,0,5,5,5,3,166.66,0,0,0,1,0
1182,Anwar Rahman (MAL),2019-2020,11,4,1,5,3*,1.66,8,62.5,0,0,1,0,0
1183,Arslan Ahmed (),2019-2019,3,1,0,5,5,5,13,38.46,0,0,0,0,0
1184,Asad Ali Rehemtulla (BUL),2020-2020,3,3,1,5,3,2.5,11,45.45,0,0,0,0,0
1185,Atif Mehmood (ESP),2019-2019,9,2,2,5,5*,-,8,62.5,0,0,0,0,0
1186,MA Baig (MWI),2019-2019,7,4,0,5,5,1.25,12,41.66,0,0,3,1,0
1187,A Bhagwat (HKG),2019-2019,4,4,0,5,3,1.25,16,31.25,0,0,1,0,0
1188,T Caruana (GIBR),2019-2019,2,1,0,5,5,5,13,38.46,0,0,0,0,0
1189,YS Chahal (INDIA),2016-2021,48,4,2,5,3*,2.5,11,45.45,0,0,0,0,0
1190,BCJ Cutting (World),2017-2017,3,2,1,5,5,5,4,125,0,0,0,1,0
1191,Fayaz Mohammad (BUL),2020-2020,1,1,1,5,5*,-,2,250,0,0,0,1,0
1192,Hasheem Shahzad (MLT),2019-2019,2,2,0,5,5,2.5,9,55.55,0,0,1,1,0
1193,Imran Ali (KUW),2019-2019,4,2,1,5,5*,5,6,83.33,0,0,1,0,0
1194,Ismail Sardar (THAI),2020-2020,2,2,0,5,3,2.5,16,31.25,0,0,0,0,0
1195,Junaid Siddique (UAE),2019-2020,13,6,2,5,3,1.25,18,27.77,0,0,2,0,0
1196,I Katzarski (BUL),2019-2019,3,2,0,5,3,2.5,12,41.66,0,0,0,0,0
1197,D Kegasitswe (Botsw),2019-2019,4,2,2,5,4*,-,11,45.45,0,0,0,0,0
1198,Khawar Zafar (Saudi),2020-2020,2,1,0,5,5,5,3,166.66,0,0,0,1,0
1199,TCR Kimber (GUE),2019-2019,3,3,0,5,2,1.66,13,38.46,0,0,0,0,0
1200,A Krishna (SGP),2019-2020,7,3,1,5,4,2.5,4,125,0,0,1,1,0
1201,CBRLS Kumara (SL),2019-2020,7,3,2,5,4,5,3,166.66,0,0,0,1,0
1202,AM McCarthy (WI),2018-2018,1,1,0,5,5,5,8,62.5,0,0,0,0,0
1203,Mohammad Hasnain (PAK),2019-2020,10,3,2,5,4*,5,12,41.66,0,0,0,1,0
1204,Mohammed Nadeem (QAT),2019-2020,22,5,4,5,3,5,9,55.55,0,0,0,0,0
1205,A Morris (Caym),2019-2019,6,4,2,5,3*,2.5,17,29.41,0,0,1,0,0
1206,Muhammad Ansar (KUW),2020-2020,4,1,0,5,5,5,5,100,0,0,0,1,0
1207,GRD Munasinghe (ITA),2019-2019,8,4,1,5,4*,1.66,13,38.46,0,0,2,1,0
1208,GM Ntambalika (MWI),2019-2019,3,1,0,5,5,5,11,45.45,0,0,0,0,0
1209,Parvez Rasool (INDIA),2017-2017,1,1,0,5,5,5,6,83.33,0,0,0,0,0
1210,NK Patel (USA),2019-2019,4,2,1,5,5*,5,10,50,0,0,1,0,0
1211,D Paterson (SA),2017-2018,8,2,1,5,4*,5,2,250,0,0,0,1,0
1212,Pavandeep Singh (MAL),2019-2020,19,6,5,5,2*,5,8,62.5,0,0,0,0,0
1213,JE Pitcher (BMUDA),2019-2019,3,1,1,5,5*,-,4,125,0,0,0,0,0
1214,CAK Rajitha (SL),2016-2019,8,3,1,5,5,2.5,16,31.25,0,0,1,0,0
1215,BM Scholtz (NAM),2019-2019,14,4,3,5,3*,5,10,50,0,0,1,0,0
1216,Shafiul Islam (BDESH),2017-2020,9,2,0,5,4,2.5,9,55.55,0,0,0,0,0
1217,M Spry (Peru),2019-2019,4,2,1,5,3*,5,11,45.45,0,0,0,0,0
1218,BM Tickner (NZ),2019-2020,6,1,1,5,5*,-,6,83.33,0,0,0,0,0
1219,C Vorster (GUE),2019-2019,1,1,0,5,5,5,8,62.5,0,0,0,0,0
1220,OJ Webster (IOM),2020-2020,1,1,0,5,5,5,7,71.42,0,0,0,1,0
1221,Ali Abbas (Saudi),2020-2020,1,1,1,4,4*,-,4,100,0,0,0,0,0
1222,Amjad Khan (UAE),2016-2016,3,2,0,4,2,2,9,44.44,0,0,0,0,0
1223,Baljit Singh (ITA),2019-2019,8,3,0,4,3,1.33,16,25,0,0,1,0,0
1224,P Bharat Patel (PNM),2019-2019,2,1,1,4,4*,-,7,57.14,0,0,0,0,0
1225,SR Bhudia (KENYA),2019-2019,4,3,1,4,3,2,16,25,0,0,1,0,0
1226,PR Brown (ENG),2019-2019,4,1,1,4,4*,-,9,44.44,0,0,0,0,0
1227,AB Dursak (TKY),2019-2019,4,4,0,4,3,1,24,16.66,0,0,2,0,0
1228,C Emmott (Chile),2019-2019,2,2,0,4,4,2,11,36.36,0,0,1,0,0
1229,K Gore (USA),2019-2019,4,1,1,4,4*,-,3,133.33,0,0,0,0,0
1230,Imran Haider (UAE),2016-2019,11,2,2,4,4*,-,8,50,0,0,0,0,0
1231,MF Koc (TKY),2019-2019,3,3,1,4,4*,2,17,23.52,0,0,2,0,0
1232,NM Lyon (AUS),2018-2018,1,1,1,4,4*,-,4,100,0,0,0,0,0
1233,Mohammad Sami (PAK),2016-2016,3,1,1,4,4*,-,2,200,0,0,0,1,0
1234,Muhammad Khurram (MWI),2019-2019,5,3,0,4,3,1.33,20,20,0,0,1,0,0
1235,Muhammad Rafique (BHR),2019-2019,2,1,0,4,4,4,5,80,0,0,0,0,0
1236,E Otieno (KENYA),2019-2019,8,3,2,4,3*,4,5,80,0,0,1,0,0
1237,Qasim Zia (BHR),2019-2019,3,1,1,4,4*,-,1,400,0,0,0,1,0
1238,T Shamsi (SA),2017-2021,28,5,4,4,2*,4,13,30.76,0,0,1,0,0
1239,CB Sole (SCOT),2017-2018,4,1,1,4,4*,-,2,200,0,0,0,1,0
1240,CR Suryawanshi (SGP),2019-2019,3,2,0,4,4,2,6,66.66,0,0,1,0,0
1241,K Suttisan (THAI),2019-2019,2,2,0,4,4,2,5,80,0,0,1,1,0
1242,SP Terry (IRE),2016-2016,1,1,0,4,4,4,6,66.66,0,0,0,0,0
1243,T Tshose (Botsw),2019-2019,2,2,2,4,4*,-,6,66.66,0,0,0,0,0
1244,T Ulutuna (TKY),2019-2019,3,3,0,4,4,1.33,9,44.44,0,0,2,1,0
1245,Usman Qadir (PAK),2020-2021,6,1,1,4,4*,-,4,100,0,0,0,0,0
1246,Abu Jayed (BDESH),2018-2018,3,2,0,3,2,1.5,7,42.85,0,0,0,0,0
1247,GJ Agius (MLT),2019-2019,2,2,0,3,3,1.5,15,20,0,0,1,0,0
1248,Amir Hayat (UAE),2018-2019,4,2,0,3,3,1.5,6,50,0,0,1,0,0
1249,Amjad Mahboob (SGP),2019-2020,14,6,2,3,1*,0.75,14,21.42,0,0,2,0,0
1250,A Aspiotis (),2019-2019,3,1,1,3,3*,-,4,75,0,0,0,0,0
1251,TD Astle (NZ),2019-2019,1,1,0,3,3,3,5,60,0,0,0,0,0
1252,GJ Bailey (AUS/World),2016-2017,2,1,0,3,3,3,12,25,0,0,0,0,0
1253,P Bhart (NOR),2019-2019,5,3,2,3,2*,3,17,17.64,0,0,1,0,0
1254,JA Burrows (IOM),2020-2020,1,1,0,3,3,3,4,75,0,0,0,0,0
1255,S Byrne (MLT),2019-2019,2,2,0,3,3,1.5,9,33.33,0,0,1,0,0
1256,D de la Puente (Peru),2019-2019,2,2,1,3,2*,3,7,42.85,0,0,0,0,0
1257,ST de Silva (SL),2017-2017,3,2,0,3,3,1.5,7,42.85,0,0,1,0,0
1258,S Desungnoen (THAI),2020-2020,2,2,2,3,2*,-,5,60,0,0,0,0,0
1259,Fahad Ali (),2019-2019,3,3,0,3,2,1,14,21.42,0,0,1,0,0
1260,M Faheem (THAI),2019-2020,7,3,0,3,2,1,7,42.85,0,0,1,0,0
1261,Fida Hussain (ITA),2019-2019,2,1,1,3,3*,-,4,75,0,0,0,0,0
1262,WT Gavera (PNG),2017-2017,3,2,0,3,2,1.5,6,50,0,0,0,0,0
1263,K Gilham (CZK-R),2020-2020,4,2,2,3,2*,-,7,42.85,0,0,0,0,0
1264,JW Hastings (AUS),2016-2016,2,1,0,3,3,3,4,75,0,0,0,0,0
1265,BE Hendricks (SA),2017-2020,9,2,0,3,3,1.5,7,42.85,0,0,1,0,0
1266,Ibrahim Nashath (Mald),2019-2019,3,2,1,3,3*,3,5,60,0,0,1,0,0
1267,Javed Maroofkhail (NOR),2019-2019,2,1,0,3,3,3,8,37.5,0,0,0,0,0
1268,Mahmad Data (PNM),2019-2019,2,1,0,3,3,3,5,60,0,0,0,0,0
1269,R Olipa (UGA),2019-2019,2,1,0,3,3,3,4,75,0,0,0,0,0
1270,M Patel (PNM),2019-2019,2,1,1,3,3*,-,6,50,0,0,0,0,0
1271,RB Patel (BUL),2020-2020,7,1,1,3,3*,-,3,100,0,0,0,0,0
1272,LN Rajbanshi (NEPAL),2018-2019,12,2,1,3,3,3,7,42.85,0,0,0,0,0
1273,LA Simango (Moz),2019-2019,3,2,1,3,2,3,4,75,0,0,0,0,0
1274,K Sinclair (WI),2021-2021,3,1,0,3,3,3,8,37.5,0,0,0,0,0
1275,R Ulutuna (TKY),2019-2019,4,4,0,3,1,0.75,16,18.75,0,0,1,0,0
1276,JDF Vandersay (SL),2016-2019,6,5,4,3,3,3,8,37.5,0,0,0,0,0
1277,DV Varghese (BUL),2020-2020,5,1,1,3,3*,-,7,42.85,0,0,0,0,0
1278,SMK Waththage (CZK-R),2019-2019,5,1,0,3,3,3,5,60,0,0,0,0,0
1279,Abdullah Mahmood (DEN),2019-2019,1,1,0,2,2,2,2,100,0,0,0,0,0
1280,AG Achar (SGP),2019-2020,5,2,2,2,2*,-,2,100,0,0,0,0,0
1281,Adel Kolasangiani (Iran),2020-2020,1,1,1,2,2*,-,4,50,0,0,0,0,0
1282,N Advani (GIBR),2019-2019,1,1,0,2,2,2,4,50,0,0,0,0,0
1283,Areeb Quadir (Fin),2019-2019,2,1,0,2,2,2,12,16.66,0,0,0,0,0
1284,Arshad Hayat (CZK-R),2019-2019,7,2,0,2,2,1,7,28.57,0,0,1,0,0
1285,KMC Bandara (SL),2016-2016,1,1,1,2,2*,-,4,50,0,0,0,0,0
1286,Bashir Shah (DEN),2019-2019,4,2,2,2,1*,-,2,100,0,0,0,0,0
1287,P Buccimazza (PORT),2019-2019,4,2,0,2,1,1,13,15.38,0,0,0,0,0
1288,A Carthew (Chile),2019-2019,4,1,1,2,2*,-,2,100,0,0,0,0,0
1289,S Chophel (BHU),2019-2019,1,1,1,2,2*,-,5,40,0,0,0,0,0
1290,H Dajc (Serb),2019-2019,2,2,1,2,2*,2,3,66.66,0,0,1,0,0
1291,Emran Shahbakhsh (Iran),2020-2020,3,3,1,2,2*,1,8,25,0,0,2,0,0
1292,M Faraz Akram (ZIM),2020-2020,1,1,1,2,2*,-,4,50,0,0,0,0,0
1293,MVT Fernando (SL),2017-2017,1,1,0,2,2,2,2,100,0,0,0,0,0
1294,C Fry (LUX),2019-2019,3,1,0,2,2,2,6,33.33,0,0,0,0,0
1295,BD Glover (NL),2019-2019,19,4,3,2,1*,2,8,25,0,0,1,0,0
1296,Jandu Hamoud (KUW),2019-2019,6,1,0,2,2,2,4,50,0,0,0,0,0
1297,A Husain (Arg),2019-2019,5,1,1,2,2*,-,1,200,0,0,0,0,0
1298,Ilyas Ahmed (KUW),2019-2020,7,3,2,2,1*,2,3,66.66,0,0,0,0,0
1299,Imran Tahir (SA/World),2016-2019,15,2,1,2,1*,2,7,28.57,0,0,0,0,0
1300,Junaid Siddiqui (CAN),2019-2019,5,1,1,2,2*,-,2,100,0,0,0,0,0
1301,S Kansoy (TKY),2019-2019,4,4,0,2,2,0.5,7,28.57,0,0,3,0,0
1302,I Lisboa (Chile),2019-2019,1,1,0,2,2,2,3,66.66,0,0,0,0,0
1303,J Long (PHI),2019-2019,2,1,1,2,2*,-,6,33.33,0,0,0,0,0
1304,T Lungameni (NAM),2019-2019,6,1,1,2,2*,-,2,100,0,0,0,0,0
1305,Masood Jayezeh (Iran),2020-2020,3,3,0,2,1,0.66,13,15.38,0,0,1,0,0
1306,AF Milne (NZ),2016-2018,6,2,2,2,2*,-,2,100,0,0,0,0,0
1307,Muslim Yar (GER),2019-2020,8,1,0,2,2,2,6,33.33,0,0,0,0,0
1308,W Nalisa (VAN),2019-2019,9,3,2,2,1*,2,4,50,0,0,1,0,0
1309,Naveed Ahmed (CZK-R),2019-2020,10,2,1,2,2*,2,4,50,0,0,1,0,0
1310,A Ndlovu (ZIM),2019-2019,3,1,0,2,2,2,4,50,0,0,0,0,0
1311,K Nima (BHU),2019-2019,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
1312,Noman Kamawi (Belg),2019-2019,1,1,0,2,2,2,7,28.57,0,0,0,0,0
1313,A Nortje (SA),2019-2020,5,1,0,2,2,2,6,33.33,0,0,0,0,0
1314,B Regmi (NEPAL),2018-2019,7,2,1,2,1*,2,4,50,0,0,0,0,0
1315,S Saeed (Mald),2019-2019,5,1,0,2,2,2,4,50,0,0,0,0,0
1316,Saqlain Ali (Belg),2019-2019,2,1,0,2,2,2,6,33.33,0,0,0,0,0
1317,Shapoor Zadran (AFG),2016-2020,11,3,2,2,1*,2,4,50,0,0,0,0,0
1318,Shoaib Gazi Hossain (Chile),2019-2019,4,1,0,2,2,2,5,40,0,0,0,0,0
1319,GJ Snyman (SA),2021-2021,1,1,0,2,2,2,6,33.33,0,0,0,0,0
1320,Suhrid Roy (MLT),2019-2019,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
1321,A Tripathi (Mex),2019-2019,3,2,2,2,1*,-,4,50,0,0,0,0,0
1322,S Vijayakumar (SGP),2019-2019,9,2,0,2,1,1,5,40,0,0,0,0,0
1323,Waqar Khan (Peru),2019-2019,4,2,1,2,2*,2,3,66.66,0,0,1,0,0
1324,Waqas Raja (Fin),2019-2019,1,1,1,2,2*,-,2,100,0,0,0,0,0
1325,UT Yadav (INDIA),2018-2019,6,1,0,2,2,2,4,50,0,0,0,0,0
1326,Z Abbasi (Botsw),2019-2019,1,1,0,1,1,1,5,20,0,0,0,0,0
1327,Aftab Alam (AFG),2016-2018,6,3,1,1,1,0.5,5,20,0,0,1,0,0
1328,KK Ahmed (INDIA),2018-2019,14,1,1,1,1*,-,1,100,0,0,0,0,0
1329,J Allen (),2019-2019,2,2,1,1,1*,1,4,25,0,0,1,0,0
1330,HS Alta (TKY),2019-2019,4,4,1,1,1*,0.33,10,10,0,0,3,0,0
1331,B Angeltti (Arg),2019-2019,3,1,0,1,1,1,4,25,0,0,0,0,0
1332,V Ateak (Ghana),2019-2019,4,1,1,1,1*,-,2,50,0,0,0,0,0
1333,Babar Ali (BHR),2019-2019,3,1,1,1,1*,-,1,100,0,0,0,0,0
1334,HK Bennett (NZ),2020-2020,7,1,1,1,1*,-,2,50,0,0,0,0,0
1335,S Bhari (NEPAL),2019-2020,8,5,3,1,1*,0.5,7,14.28,0,0,2,0,0
1336,N Buckle (GUE),2019-2019,3,1,1,1,1*,-,1,100,0,0,0,0,0
1337,DL Chahar (INDIA),2018-2020,13,4,4,1,1*,-,1,100,0,0,0,0,0
1338,R Dhawan (INDIA),2016-2016,1,1,1,1,1*,-,2,50,0,0,0,0,0
1339,B Dugic (Serb),2019-2019,2,1,0,1,1,1,4,25,0,0,0,0,0
1340,FH Edwards (WI),2021-2021,2,1,1,1,1*,-,2,50,0,0,0,0,0
1341,GDR Eranga (CAN),2019-2019,9,1,0,1,1,1,1,100,0,0,0,0,0
1342,LH Ferguson (NZ),2017-2020,11,1,0,1,1,1,3,33.33,0,0,0,0,0
1343,MD Garratt (GIBR),2019-2019,4,2,1,1,1,1,5,20,0,0,0,0,0
1344,A Gavde (Caym),2019-2019,1,1,0,1,1,1,6,16.66,0,0,0,0,0
1345,O Goker (TKY),2019-2019,1,1,1,1,1*,-,1,100,0,0,0,0,0
1346,JOA Gordon (CAN),2019-2019,5,1,1,1,1*,-,2,50,0,0,0,0,0
1347,GM Hyde (Blz),2019-2019,3,1,0,1,1,1,6,16.66,0,0,0,0,0
1348,Imran Yousaf (Saudi),2020-2020,2,1,1,1,1*,-,2,50,0,0,0,0,0
1349,B Khumalo (Botsw),2019-2019,3,1,0,1,1,1,3,33.33,0,0,0,0,0
1350,DS Kulkarni (INDIA),2016-2016,2,1,1,1,1*,-,1,100,0,0,0,0,0
1351,A Lagos (),2019-2019,1,1,1,1,1*,-,4,25,0,0,0,0,0
1352,C Liebenberg (IOM),2020-2020,1,1,0,1,1,1,1,100,0,0,0,0,0
1353,R Mahajan (PHI),2019-2019,3,1,1,1,1*,-,1,100,0,0,0,0,0
1354,S Mills (IOM),2020-2020,1,1,1,1,1*,-,3,33.33,0,0,0,0,0
1355,MR Montfort (CAN),2019-2019,1,1,1,1,1*,-,1,100,0,0,0,0,0
1356,Muhammed Shanil (UAE),2016-2016,1,1,1,1,1*,-,3,33.33,0,0,0,0,0
1357,A Nathwani (Aut),2019-2019,5,1,1,1,1*,-,1,100,0,0,0,0,0
1358,R Neale (LUX),2019-2019,3,2,0,1,1,0.5,6,16.66,0,0,1,0,0
1359,J Perman (ESP),2019-2020,4,1,0,1,1,1,6,16.66,0,0,0,0,0
1360,KB Ratilal (PNM),2019-2019,3,1,1,1,1*,-,2,50,0,0,0,0,0
1361,EB Ringera (KENYA),2019-2019,1,1,0,1,1,1,3,33.33,0,0,0,0,0
1362,WJR Robertson (JER),2019-2019,6,2,2,1,1*,-,2,50,0,0,0,0,0
1363,BA Sambo (Moz),2019-2019,2,1,1,1,1*,-,1,100,0,0,0,0,0
1364,O Sam Arthur (CRC),2019-2019,3,2,1,1,1,1,1,100,0,0,0,0,0
1365,M Sarenac (Serb),2019-2019,2,1,0,1,1,1,2,50,0,0,0,0,0
1366,ZK Shem (VAN),2019-2019,5,2,2,1,1*,-,4,25,0,0,0,0,0
1367,KM Silva (),2019-2019,3,2,0,1,1,0.5,6,16.66,0,0,1,0,0
1368,Sohail Khan (PAK),2017-2017,2,1,1,1,1*,-,1,100,0,0,0,0,0
1369,AL Stephen (VAN),2019-2019,2,1,0,1,1,1,2,50,0,0,0,0,0
1370,T Turan (TKY),2019-2019,4,4,0,1,1,0.25,17,5.88,0,0,3,0,0
1371,R van der Merwe (Arg),2019-2019,5,2,2,1,1*,-,1,100,0,0,0,0,0
1372,S Veerapathiran (BHR),2020-2020,1,1,0,1,1,1,2,50,0,0,0,0,0
1373,Wasim Ali (OMAN),2019-2020,3,2,1,1,1,1,6,16.66,0,0,0,0,0
1374,JD Wildermuth (AUS),2018-2018,2,1,1,1,1*,-,1,100,0,0,0,0,0
1375,Zaki Ul Hassan (Belg),2019-2019,3,1,0,1,1,1,2,50,0,0,0,0,0
1376,Zeeshan Abbas (BHR),2019-2019,1,1,0,1,1,1,4,25,0,0,0,0,0
1377,AS Abioye (NGA),2019-2019,5,1,1,0,0*,-,0,-,0,0,0,0,0
1378,C Akyuz (TKY),2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
1379,Ali Naqi (PORT),2019-2019,4,1,1,0,0*,-,0,-,0,0,0,0,0
1380,Al-Amin Hossain (BDESH),2016-2020,9,2,1,0,0*,0,2,0,0,0,1,0,0
1381,MA Aponso (SL),2018-2018,3,1,0,0,0,0,2,0,0,0,1,0,0
1382,S Arachchige (ITA),2019-2019,4,1,0,0,0,0,2,0,0,0,1,0,0
1383,SK Atai (PNG),2019-2019,2,1,0,0,0,0,1,0,0,0,1,0,0
1384,M Bhanuka (SL),2019-2019,2,1,0,0,0,0,1,0,0,0,1,0,0
1385,I Civric (Serb),2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
1386,S Dalton (CZK-R),2019-2019,2,1,0,0,0,0,1,0,0,0,1,0,0
1387,N Dipakkumar Patel (PNM),2019-2019,3,1,0,0,0,0,0,-,0,0,1,0,0
1388,JN Dorji (BHU),2019-2019,1,1,0,0,0,0,0,-,0,0,1,0,0
1389,Ehsan Nawaz (HKG),2016-2017,4,1,0,0,0,0,2,0,0,0,1,0,0
1390,AC Evans (SCOT),2018-2019,16,2,0,0,0,0,2,0,0,0,2,0,0
1391,Fakhrul Mohon (PORT),2019-2019,4,1,0,0,0,0,0,-,0,0,1,0,0
1392,Fiaz Ahmad (KUW),2019-2019,3,1,1,0,0*,-,0,-,0,0,0,0,0
1393,GC Galanis (),2019-2019,2,1,0,0,0,0,1,0,0,0,1,0,0
1394,Gershon Yusuf (NGA),2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
1395,L Gharasim (ROM),2019-2020,3,1,0,0,0,0,1,0,0,0,1,0,0
1396,M Gherasim (ROM),2020-2020,2,1,1,0,0*,-,3,0,0,0,0,0,0
1397,M Goonetilleke (MLT),2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
1398,Haris Rauf (PAK),2020-2021,13,1,1,0,0*,-,1,0,0,0,0,0,0
1399,Javed Ahmadi (AFG),2017-2017,1,1,0,0,0,0,2,0,0,0,1,0,0
1400,P Kerai (KENYA),2019-2019,6,1,0,0,0,0,1,0,0,0,1,0,0
1401,VJ Kingma (NL),2019-2019,3,1,1,0,0*,-,1,0,0,0,0,0,0
1402,CA Liyanage (Mald),2019-2020,3,3,1,0,0*,0,2,0,0,0,2,0,0
1403,K Loday (BHU),2019-2019,1,1,1,0,0*,-,1,0,0,0,0,0,0
1404,NL McCullum (NZ),2016-2016,1,1,0,0,0,0,1,0,0,0,1,0,0
1405,P Malav (LUX),2020-2020,3,1,0,0,0,0,1,0,0,0,1,0,0
1406,OM Marshall (Peru),2019-2019,3,1,0,0,0,0,3,0,0,0,1,0,0
1407,M Meade (Chile),2019-2019,1,1,0,0,0,0,2,0,0,0,1,0,0
1408,Mehran Dorri (Iran),2020-2020,1,1,1,0,0*,-,3,0,0,0,0,0,0
1409,Mehran Siasar (Iran),2020-2020,1,1,0,0,0,0,3,0,0,0,1,0,0
1410,Michael Nazir (MLT),2019-2019,1,1,0,0,0,0,2,0,0,0,1,0,0
1411,TS Mills (ENG/ICC),2016-2018,5,1,0,0,0,0,2,0,0,0,1,0,0
